,hangul_char,hanja_char,definitions
235,함,銜,
236,항,恒,surname Heng | 
236,항,恒,permanent | constant | fixed | usual | ordinary | rule (old) | one of the 64 hexagrams of the Book of Changes (䷟) | 
236,항,恒,variant of 恆|恒[heng2] | 
237,항,港,"Hong Kong, abbr. for 香港[Xiang1 gang3] | surname Gang | "
237,항,港,harbor | port | CL:個|个[ge4] | 
238,행,行,"row | line | commercial firm | line of business | profession | to rank (first, second etc) among one's siblings (by age) | (in data tables) row | (Tw) column | "
238,행,行,to walk | to go | to travel | a visit | temporary | makeshift | current | in circulation | to do | to perform | capable | competent | effective | all right | OK! | will do | behavior | conduct | Taiwan pr. [xing4] for the behavior-conduct sense | 
239,험,驗,
240,호,濠,trench | 
241,호,號,
242,호,護,
243,혼,婚,to marry | marriage | wedding | to take a wife | 
244,홍,紅,
245,화,化,variant of 花[hua1] | 
245,화,化,to make into | to change into | -ization | to ... -ize | to transform | abbr. for 化學|化学[hua4 xue2] | 
246,화,火,surname Huo | 
246,화,火,fire | urgent | ammunition | fiery or flaming | internal heat (Chinese medicine) | hot (popular) | classifier for military units (old) | Kangxi radical 86 | 
247,화,畵,variant of 畫|画[hua4] | 
248,화,話,
249,화,貨,
250,회,會,
251,회,灰,ash | dust | lime | gray | discouraged | dejected | 
252,회,膾,
253,후,後,
254,휴,休,surname Xiu | 
254,휴,休,to rest | to stop doing sth for a period of time | to cease | (imperative) don't | 
255,휴,携,old variant of 攜|携[xie2] | 
255,휴,携,old variant of 攜|携[xie2] | 
255,휴,携,old variant of 攜|携[xie2] | 
255,휴,携,to carry | to take along | to bring along | to hold (hands) | also pr. [xi1] | 
